,team1,team2,round,winner,t1t_g,t1t_mp,t1t_fg,t1t_fga,t1t_fg_pct,t1t_fg2,t1t_fg2a,t1t_fg2_pct,t1t_fg3,t1t_fg3a,t1t_fg3_pct,t1t_ft,t1t_fta,t1t_ft_pct,t1t_orb,t1t_drb,t1t_trb,t1t_ast,t1t_stl,t1t_blk,t1t_tov,t1t_pf,t1t_pts,t1t_pts_per_g,t1o_g,t1o_mp,t1o_fg,t1o_fga,t1o_fg_pct,t1o_fg2,t1o_fg2a,t1o_fg2_pct,t1o_fg3,t1o_fg3a,t1o_fg3_pct,t1o_ft,t1o_fta,t1o_ft_pct,t1o_orb,t1o_drb,t1o_trb,t1o_ast,t1o_stl,t1o_blk,t1o_tov,t1o_pf,t1o_pts,t1o_pts_per_g,t2t_g,t2t_mp,t2t_fg,t2t_fga,t2t_fg_pct,t2t_fg2,t2t_fg2a,t2t_fg2_pct,t2t_fg3,t2t_fg3a,t2t_fg3_pct,t2t_ft,t2t_fta,t2t_ft_pct,t2t_orb,t2t_drb,t2t_trb,t2t_ast,t2t_stl,t2t_blk,t2t_tov,t2t_pf,t2t_pts,t2t_pts_per_g,t2o_g,t2o_mp,t2o_fg,t2o_fga,t2o_fg_pct,t2o_fg2,t2o_fg2a,t2o_fg2_pct,t2o_fg3,t2o_fg3a,t2o_fg3_pct,t2o_ft,t2o_fta,t2o_ft_pct,t2o_orb,t2o_drb,t2o_trb,t2o_ast,t2o_stl,t2o_blk,t2o_tov,t2o_pf,t2o_pts,t2o_pts_per_g,sum_g,sum_mp,sum_fg,sum_fga,sum_fg_pct,sum_fg2,sum_fg2a,sum_fg2_pct,sum_fg3,sum_fg3a,sum_fg3_pct,sum_ft,sum_fta,sum_ft_pct,sum_orb,sum_drb,sum_trb,sum_ast,sum_stl,sum_blk,sum_tov,sum_pf,sum_pts,sum_pts_per_g
0,Belmont,Temple,1,1,32,6450,1015,2029,.500,681,1136,.599,334,893,.374,427,578,.739,277,961,1238,631,218,121,371,493,2791,87.2,32,6450,865,2041,.424,618,1320,.468,247,721,.343,383,549,.698,300,825,1125,390,197,112,398,533,2360,73.8,33,6700,873,1998,.437,626,1250,.501,247,748,.330,472,649,.727,316,820,1136,476,284,73,368,580,2465,74.7,33,6700,841,1897,.443,602,1170,.515,239,727,.329,437,643,.680,325,897,1222,421,182,85,485,550,2358,71.5,0.0,0.0,118.0,-113.0,0.08200000000000002,39.0,-264.0,0.14499999999999996,79.0,151.0,0.02999999999999997,9.0,23.0,-0.005999999999999894,-14.0,213.0,199.0,186.0,-81.0,21.0,90.0,-70.0,324.0,10.200000000000003
1,North Dakota State,North Carolina Central,1,1,33,6650,828,1816,.456,513,955,.537,315,861,.366,445,575,.774,218,824,1042,383,159,82,349,492,2416,73.2,33,6650,885,1921,.461,641,1240,.517,244,681,.358,368,491,.749,264,824,1088,395,175,86,328,547,2382,72.2,33,6625,850,1866,.456,638,1193,.535,212,673,.315,443,620,.715,387,840,1227,509,207,92,506,590,2355,71.4,33,6625,806,1857,.434,602,1206,.499,204,651,.313,372,558,.667,300,716,1016,430,198,119,444,536,2188,66.3,0.0,0.0,-101.0,-114.0,-0.027000000000000024,-164.0,-272.0,-0.016000000000000014,63.0,158.0,0.006000000000000005,6.0,22.0,-0.02299999999999991,-133.0,-124.0,-257.0,-91.0,-25.0,23.0,-41.0,-109.0,-133.0,-4.1000000000000085
2,Arizona State,St. John's (NY),1,1,32,6500,851,1903,.447,619,1223,.506,232,680,.341,556,829,.671,389,894,1283,435,199,103,434,635,2490,77.8,32,6500,775,1878,.413,501,1062,.472,274,816,.336,514,725,.709,320,811,1131,425,203,111,445,693,2338,73.1,33,6675,922,2031,.454,641,1253,.512,281,778,.361,433,597,.725,252,824,1076,463,290,110,341,628,2558,77.5,33,6675,831,1912,.435,553,1096,.505,278,816,.341,528,746,.708,348,933,1281,450,171,80,508,560,2468,74.8,0.0,0.0,-15.0,-94.0,0.015000000000000013,30.0,4.0,0.027000000000000024,-45.0,-98.0,-0.014999999999999958,137.0,253.0,-0.05499999999999994,165.0,192.0,357.0,-3.0,-123.0,-38.0,156.0,-126.0,62.0,2.0
3,Prairie View,Fairleigh Dickinson,1,0,35,7000,903,2062,.438,678,1359,.499,225,703,.320,596,875,.681,393,761,1154,444,309,55,445,758,2627,75.1,35,7000,863,1887,.457,648,1207,.537,215,680,.316,606,875,.693,393,922,1315,445,174,152,637,759,2547,72.8,34,6900,906,1889,.480,643,1238,.519,263,651,.404,496,680,.729,315,810,1125,478,254,128,460,564,2571,75.6,34,6900,874,1978,.442,606,1209,.501,268,769,.349,412,592,.696,376,764,1140,451,209,110,497,612,2428,71.4,0.0,0.0,8.0,264.0,-0.056999999999999995,-7.0,123.0,-0.05600000000000005,15.0,141.0,-0.051000000000000045,-94.0,-88.0,-0.04499999999999993,61.0,-207.0,-146.0,-28.0,90.0,-115.0,-155.0,47.0,-63.0,-1.8999999999999915
4,Duke,North Dakota State,2,1,34,6825,1037,2173,.477,790,1355,.583,247,818,.302,518,751,.690,455,966,1421,541,322,232,446,539,2839,83.5,34,6825,858,2171,.395,637,1418,.449,221,753,.293,360,521,.691,407,806,1213,418,222,108,498,600,2297,67.6,33,6650,828,1816,.456,513,955,.537,315,861,.366,445,575,.774,218,824,1042,383,159,82,349,492,2416,73.2,33,6650,885,1921,.461,641,1240,.517,244,681,.358,368,491,.749,264,824,1088,395,175,86,328,547,2382,72.2,0.0,0.0,236.0,107.0,0.08699999999999997,281.0,222.0,0.11399999999999993,-45.0,-115.0,0.0010000000000000009,81.0,146.0,-0.026000000000000023,94.0,160.0,254.0,135.0,116.0,128.0,-73.0,-6.0,508.0,14.900000000000006
5,VCU,UCF,2,0,32,6450,801,1811,.442,572,1066,.537,229,745,.307,455,652,.698,347,827,1174,444,255,145,446,634,2286,71.4,32,6450,678,1765,.384,515,1175,.438,163,590,.276,452,656,.689,366,763,1129,346,206,81,520,626,1971,61.6,31,6225,765,1652,.463,554,1056,.525,211,596,.354,495,767,.645,300,839,1139,411,178,139,367,524,2236,72.1,31,6225,715,1810,.395,498,1117,.446,217,693,.313,346,536,.646,347,725,1072,388,174,86,380,665,1993,64.3,0.0,0.0,73.0,204.0,-0.010000000000000009,1.0,-48.0,0.020000000000000018,72.0,252.0,-0.010000000000000009,-146.0,-235.0,0.010000000000000009,28.0,-50.0,-22.0,75.0,45.0,11.0,-61.0,149.0,72.0,2.000000000000007
6,Mississippi State,Liberty,2,1,33,6650,911,1929,.472,627,1177,.533,284,752,.378,446,624,.715,385,798,1183,468,267,164,439,564,2552,77.3,33,6650,824,1885,.437,583,1202,.485,241,683,.353,425,597,.712,338,720,1058,413,195,121,448,544,2314,70.1,34,6800,921,1877,.491,621,1061,.585,300,816,.368,374,485,.771,263,850,1113,505,217,91,373,513,2516,74.0,34,6800,741,1785,.415,525,1110,.473,216,675,.320,368,549,.670,285,753,1038,341,177,88,463,525,2066,60.8,0.0,0.0,-93.0,-48.0,-0.041000000000000036,-52.0,24.0,-0.06399999999999995,-41.0,-72.0,-0.022999999999999965,15.0,91.0,-0.09799999999999998,69.0,-19.0,50.0,-109.0,32.0,40.0,81.0,32.0,-212.0,-6.0
7,Virginia Tech,Saint Louis,2,1,32,6450,824,1732,.476,517,953,.542,307,779,.394,413,545,.758,285,758,1043,491,213,74,363,489,2368,74.0,32,6450,690,1701,.406,407,848,.480,283,853,.332,324,449,.722,286,673,959,389,162,93,450,522,1987,62.1,35,7000,836,1999,.418,635,1347,.471,201,652,.308,474,793,.598,480,912,1392,454,248,142,446,611,2347,67.1,35,7000,778,1900,.409,552,1178,.469,226,722,.313,449,625,.718,300,862,1162,427,207,138,455,660,2231,63.7,0.0,0.0,76.0,-68.0,0.06099999999999994,27.0,-64.0,0.06000000000000005,49.0,-4.0,0.067,64.0,-72.0,0.15600000000000003,-181.0,35.0,-146.0,75.0,10.0,-23.0,-78.0,16.0,265.0,8.500000000000007
8,Maryland,Belmont,2,1,32,6400,807,1777,.454,575,1120,.513,232,657,.353,437,584,.748,351,901,1252,423,139,151,420,495,2283,71.3,32,6400,744,1876,.397,508,1137,.447,236,739,.319,358,498,.719,296,683,979,387,228,110,303,562,2082,65.1,32,6450,1015,2029,.500,681,1136,.599,334,893,.374,427,578,.739,277,961,1238,631,218,121,371,493,2791,87.2,32,6450,865,2041,.424,618,1320,.468,247,721,.343,383,549,.698,300,825,1125,390,197,112,398,533,2360,73.8,0.0,0.0,-87.0,-87.0,-0.019000000000000017,4.0,167.0,-0.06499999999999995,-91.0,-254.0,0.0030000000000000027,35.0,57.0,-0.01200000000000001,78.0,82.0,160.0,-205.0,-110.0,32.0,144.0,-27.0,-230.0,-7.200000000000003
9,LSU,Yale,2,1,32,6575,912,1974,.462,693,1297,.534,219,677,.323,561,744,.754,431,810,1241,420,291,138,422,597,2604,81.4,32,6575,821,1884,.436,570,1148,.497,251,736,.341,444,645,.688,353,726,1079,357,209,94,480,630,2337,73.0,29,5875,866,1740,.498,644,1143,.563,222,597,.372,399,542,.736,249,870,1119,495,172,126,383,494,2353,81.1,29,5875,751,1828,.411,532,1127,.472,219,701,.312,402,549,.732,276,707,983,369,203,87,327,501,2123,73.2,0.0,0.0,-24.0,178.0,-0.061,11.0,133.0,-0.05399999999999994,-35.0,45.0,-0.07800000000000001,120.0,106.0,0.062000000000000055,105.0,-79.0,26.0,-63.0,113.0,5.0,-114.0,-26.0,37.0,0.5000000000000142
