team1,team2,round,winner
Belmont,Temple,1,1
North Dakota State,North Carolina Central,1,1
Arizona State,St. John's (NY),1,1
Prairie View,Fairleigh Dickinson,1,2
Duke,North Dakota State,2,1
VCU,UCF,2,2
Mississippi State,Liberty,2,1
Virginia Tech,Saint Louis,2,1
Maryland,Belmont,2,1
LSU,Yale,2,1
Louisville,Minnesota,2,2
Michigan State,Bradley,2,1
Gonzaga,Fairleigh Dickinson,2,1
Syracuse,Baylor,2,2
Marquette,Murray State,2,2
Florida State,Vermont,2,1
Buffalo,Arizona State,2,1
Texas Tech,Northern Kentucky,2,1
Nevada,Florida,2,2
Michigan,Montana,2,1
Virginia,Gardner-Webb,2,1
Ole Miss,Oklahoma,2,2
Wisconsin,Oregon,2,2
Kansas State,UC-Irvine,2,2
Villanova,Saint Mary's,2,1
Purdue,Old Dominion,2,1
Cincinnati,Iowa,2,2
Tennessee,Colgate,2,1
North Carolina Central,Iona,2,1
Utah State,Washington,2,2
Auburn,New Mexico State,2,1
Kansas State,Northeastern,2,1
Iowa State,Ohio State,2,2
Houston,Georgia State,2,1
Wofford,Seton Hall,2,1
Kentucky,Abilene Christian,2,1
Duke,UCF,3,1
Liberty,Virginia Tech,3,2
Maryland,LSU,3,2
Minnesota,Michigan State,3,2
Gonzaga,Baylor,3,1
Murray State,Florida State,3,2
Buffalo,Texas Tech,3,2
Florida,Michigan State,3,2
Virginia,Oklahoma,3,1
Oregon,UC-Irvine,3,1
Villanova,Purdue,3,2
Iowa,Tennessee,3,2
North Carolina Central,Washington,3,1
Auburn,Kansas,3,1
Ohio State,Houston,3,2
Wofford,Kentucky,3,2
Duke,Virginia Tech,4,1
LSU,Michigan State,4,2
Gonzaga,Florida State,4,1
Texas Tech,Michigan,4,1
Virginia,Oregon,4,1
Purdue,Tennessee,4,1
North Carolina Central,Auburn,4,2
Houston,Kentucky,4,2
Duke,Michigan State,5,2
Gonzaga,Texas Tech,5,2
Virginia,Purdue,5,1
Auburn,Kentucky,5,1
Michigan State,Texas Tech,6,2
Virginia,Auburn,6,1
Texas Tech,Virginia,7,2
